,Country_of_Origin,Farm_Name,Mill,Company,Region,Producer,Number_of_Bags,Bag_Weight,In-Country_Partner,Owner,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Total_Cup_Points,Moisture_Percentage,Category_One_Defects,Quakers,Color,Category_Two_Defects
31,"Tanzania, United Republic Of",Other,Other,Other,Other,Other,100,60.0,Specialty Coffee Institute of Asia,Specialty Coffee-Korea,Other,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,0,0.0,blue-green,1
32,Brazil,fazenda recreio,Other,nucoffee,vale da grama,Homero Texeira de Macedo Junior,29,60.0,NUCOFFEE,NUCOFFEE,Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0,0.0,green,2
33,Costa Rica,exclusive coffees s.a.,"exclusive coffees s.a,",exclusive coffees s.a.,west and central valley,Exclusive Coffees S.A.,250,0.907184,Specialty Coffee Association of Costa Rica,Francisco A Mena,Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0.11,0,0.0,blue-green,0
34,Ethiopia,haider abamecha coffee plantation,faysal abamecha processing plant at yebu town,haider abamecha coffee export,oromia,Haider Abamecha Abadiko,320,60.0,METAD Agricultural Development plc,Hider Abamecha,Other,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,0,0.0,green,3
35,Kenya,kangunu,central kenya coffee mills,c dorman ltd,muranga,Kangunu,320,1.0,Kenya Coffee Traders Association,Daniel Magu,SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0,0.0,blue-green,1
36,United States (Hawaii),Other,Other,kona pacific farmers cooperative,kona,Other,10,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,0.11,1,0.0,other,4
37,United States (Hawaii),kona pacific farmers cooperative,Other,Other,kona,Kona Pacific Farmers Co-Op,25,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Other,Other,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,86.25,0.11,2,0.0,other,1
38,Ethiopia,"phone number | 0911-51-08-01, email | at",Other,Other,yirgacheffe,Contact name | ATO Teshome Belamo,300,6.0,Ethiopia Commodity Exchange,Ethiopia Commodity Exchange,Other,Other,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25,0.1,0,0.0,other,2
39,Other,la primavera,Other,coffee quality institute,antioquia,Hugo Sepúlveda Montoya,10,1.0,Almacafé,CQI Q Coffee Sample Representative,Other,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17,0.11,0,0.0,other,0
40,Thailand,co-op #12,Other,lanna cafe,chiang rai,ITDP,53,1.0,Specialty Coffee Association,ITDP International,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,1,0.0,green,9
41,Brazil,pereira estate coffee,cocarive,Other,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60.0,Specialty Coffee Association,Jacques Pereira Carneiro,Yellow Bourbon,Other,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17,0.08,0,0.0,other,2
42,Brazil,pereira estate coffee,cocarive,Other,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60.0,Specialty Coffee Association,Jacques Pereira Carneiro,Yellow Bourbon,Other,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17,0.11,0,0.0,other,3
43,Taiwan,sunshine valley estate 向陽高山咖啡,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,natou county,LIN YEN CHIEN 林言謙,10,15.0,Specialty Coffee Association,"Lin, Che-Hao Krude 林哲豪",Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,0,0.0,green,0
44,Kenya,jungle estate,nkg coffee mills,keremara limited,nyeri,JUNGLE ESTATE,12,60.0,Kenya Coffee Traders Association,Jungle Estate,SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,blue-green,2
45,Brazil,fazenda kaquend,Other,nucoffee,south of minas,Ralph Junqueira,7,60.0,NUCOFFEE,NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,blue-green,2
46,Uganda,kaasayi,great lakes coffee,ucda,eastern uganda,Kaasay Farmer Group,1,60.0,Uganda Coffee Development Authority,Great Lakes Coffee Uganda,Other,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86.0,0.11,0,0.0,other,0
47,Colombia,ecobio colombia,Other,lusso coffee lab,tolima,Other,1,2.0,Specialty Coffee Association,LUSSO LAB,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,1,0.0,green,1
48,Kenya,kianjavi,Other,lusso coffee lab,kiambu,Other,1,1.0,Specialty Coffee Association,LUSSO LAB,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,0,0.0,green,1
49,Uganda,Other,Other,kawacom uganda ltd,"sipi, mt elgon",Kawacom,1,60.0,Africa Fine Coffee Association,AFCA,Other,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0.1,0,0.0,blue-green,0
50,Ethiopia,contact | sidacoop@ethionet.net,coffee processing and warehouse enterpri,Other,sidamo,Sidama Coffee Farmers Coop. Union,300,6.0,Ethiopia Commodity Exchange,Ethiopia Commodity Exchange,Other,Other,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0,0.11,0,0.0,other,4
51,United States (Hawaii),hula daddy kona coffee,Other,Other,kona,Hula Daddy Kona Coffee,1,2.0,Specialty Coffee Association,Grounds for Health Admin,Other,Other,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,86.0,0.11,0,0.0,other,0
52,Guatemala,la esperanza y anexos,beneficio ixchel,"unex guatemala, s.a.",nuevo oriente,MARGARITA AVILA DE NUYENS,80,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,0.1,0,1.0,green,3
53,Uganda,sipi organic coffee project,kawacom,kawacom uganda ltd,eastern,Kawacom (U)Ltd,1,60.0,Uganda Coffee Development Authority,Kawacom Uganda LTD,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,0.12,0,0.0,green,0
54,Colombia,Other,trilladora boananza,exportadora de cafe condor s.a,huila,Other,275,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0.11,1,0.0,blue-green,0
55,Other,la berlina estate,beneficio casa ruiz s.a.,ce specialty s.a.,boquete,Plinio Ruiz,37,60.0,Specialty Coffee Association of Costa Rica,Gonzalo Hernandez,Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.08,0,1.0,blue-green,0
56,Ethiopia,Other,burka gudina,ibrahim hussien specality coffee product & exporter,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,320,60.0,METAD Agricultural Development plc,Ibrahim Hussien Speciality Coffee Producer &Export,Other,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,green,4
57,Guatemala,valparaiso,beneficio valparaiso,sertrasa,acatenango,SERTRASA,150,1.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.12,0,0.0,green,3
58,Guatemala,finca el limon,beneficio serben,unicafe,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,blue-green,1
59,Ethiopia,seid damtew coffee planation,seid damtew coffee export and plantation,seid damtew coffee planation,addis ababa,seid damtew coffee export and plantation,320,19200.0,METAD Agricultural Development plc,SEID DAMTEW COFFEE PLANATAION,Caturra,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,0.09,0,4.0,other,7
60,Peru,Other,Other,sustainable harvest,cajamarca,Other,280,2.26796,Specialty Coffee Association,Dane Loraas,Other,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,0.1,4,0.0,green,6
61,Other,tairora cherry – bonta,baroida,cqi,eastern highlands province,"Colbran CoffeeLands, Ltd.",7,60.0,Specialty Coffee Association,"Colbran Coffeelands, Ltd.",Other,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,0,0.0,blue-green,1
62,El Salvador,el majahual,j. hill y cia,atlantic specialty coffee,apaneca,Aida Batlle,275,2.0,Specialty Coffee Association,Atlantic Specialty Coffee,Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0.1,0,0.0,blue-green,3
63,El Salvador,finca la esmeralda,"aqua caliente, j.j. borja nathan. s.a",lusso coffee lab,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,19,1.0,Specialty Coffee Association,LUSSO LAB,Bourbon,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,0,0.0,other,0
64,United States (Hawaii),Other,Other,kona pacific farmers cooperative,kona,Other,8,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58,0.11,0,0.0,other,1
65,Other,elida estate,elida estate,essence coffee,boquete,Lamastus,100,60.0,Blossom Valley International,EssenceCoffee,Caturra,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,2,0.0,other,2
66,Kenya,inoi,inoi,essence coffee,kirinyaga,Other,16,60.0,Blossom Valley International,EssenceCoffee,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0.1,0,0.0,green,3
67,Ethiopia,Other,Other,assefa belay coffee producer,oromia,Assefa Belay Coffee Producer,320,60.0,METAD Agricultural Development plc,Assefa Belay Coffee Producer,Other,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0.12,0,0.0,green,7
68,Uganda,buginyanya,kyagalanyi coffee ltd,kyagalanyi coffee ltd,bulambuli eastern region,Kyagalanyi coffee Ltd,320,60.0,Uganda Coffee Development Authority,Kyagalanyi Ltd,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,0,0.0,green,1
69,Guatemala,asoperc,beneficio exportacafe agua santa,exportcafe,huehuetenango,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,0,0.0,green,1
70,Ethiopia,Other,Other,assefa belay coffee producer,oromia,Assefa Belay Coffee Producer,320,60.0,METAD Agricultural Development plc,Assefa Belay Coffee Producer,Other,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,0,0.0,green,18
71,Uganda,chesiyo farmer group,great lakes coffee,great lakes coffee,kapchorwa,Chesiyo Farmer group,150,60.0,Uganda Coffee Development Authority,Great Lakes Coffee Uganda,SL14,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,0.12,0,0.0,green,5
72,United States (Hawaii),Other,Other,kona pacific farmers cooperative,kona,Other,8,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42,0.11,4,0.0,other,6
73,Brazil,fazenda serra de três barras,Other,nucoffee,south of minas,José Vagner Ribeiro Junqueira,5,60.0,NUCOFFEE,NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0.11,0,0.0,blue-green,1
74,El Salvador,sierra nevada,beneficio las tres puertas,Other,apaneca,J. Hill y Cia SA de CV,2,1.0,Specialty Coffee Association,Grounds for Health Admin,Other,Other,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42,0.11,0,0.0,other,0
75,China,pu'er city longke coffee co.ltd,pu'er city longke coffee co.ltd,yunnan coffee exchange,yunnan,Pu'er City Longke Coffee Co.Ltd,3,60.0,Yunnan Coffee Exchange,Yunnan Coffee Exchange,Catimor,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,green,0
76,Guatemala,el injerto s.a.,el injerto s.a.,essence coffee,huehuetenango,Arturo Aguirre,36,30.0,Blossom Valley International,EssenceCoffee,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,0,0.0,green,1
77,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,west valley,Cafe Altura de San Ramon,250,1.360776,Specialty Coffee Association,The Coffee Source Inc.,Caturra,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33,0.11,0,0.0,blue-green,0
78,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,san ramon,SEVERAL,250,1.360776,Specialty Coffee Association,The Coffee Source Inc.,Caturra,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,blue-green,2
79,Kenya,Other,Other,rashid moledina & co. (msa) ltd,central kenya,Kianjogu - Rutuma F.C.S. Ltd.,20,60.0,Kenya Coffee Traders Association,RASHID MOLEDINA & CO. (MSA) LTD.,SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,0.11,0,0.0,green,2
80,Kenya,Other,nkg/ck/hc/ss/kccm,ibero kenya limited,central kenya,Blend from various Producers,300,60.0,Kenya Coffee Traders Association,Ibero Kenya Limited,SL34,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,0.11,0,0.0,green,6
81,Ethiopia,phone number | 0911-513824 email: gmt.ft,Other,Other,yirgacheffe,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",360,6.0,Ethiopia Commodity Exchange,Ethiopia Commodity Exchange,Other,Other,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,85.33,0.11,0,0.0,other,2
82,Ethiopia,Other,Other,Other,yirgacheffe,Contact name | Hailu Gebre Hiwot,300,6.0,Ethiopia Commodity Exchange,Ethiopia Commodity Exchange,Typica,Other,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,85.33,0.1,0,0.0,other,3
83,Guatemala,la esperanza y anexos,beneficio ixchel,"unex guatemala, s.a.",oriente,MARGARITA AVILA DE NUYENS,250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Other,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.25,0.1,0,2.0,green,2
84,Colombia,various,trilladora agricola,exportadora de cafe condor s.a,santander,varios,275,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,0.11,0,0.0,green,0
85,Colombia,Other,trilladora boananza,ecom cca sa,santander,Other,250,70.0,Almacafé,Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,0.12,0,0.0,green,2
86,Indonesia,Other,Other,"nomura trading co., ltd.",lintong,Other,54,60.0,Specialty Coffee Association,"Nomura Trading Co., Ltd.",Other,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17,0.11,0,0.0,green,3
87,Guatemala,coop. hoja blanca - fedecocagua,coop. hoja blanca - fedecocagua,the coffee source inc.,huehuetenango,Coop. Hoja Blanca - Fedecocagua,250,1.0,Specialty Coffee Association,The Coffee Source Inc.,Caturra,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17,0.11,0,0.0,other,7
88,Ethiopia,seid damtew coffee planation,at site and addis ababa,seid damtew coffee planation,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",SEID DAMTEW COFFEE PLANATION,320,19200.0,METAD Agricultural Development plc,SEID DAMTEW COFFEE PLANATAION,Other,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,0.11,0,1.0,green,8
89,Colombia,Other,pasto,carcafe ltda,pasto,JOSE ALBEIRO GOMEZ / LUIS JABER REALPE,250,70.0,Almacafé,CARCAFE LTDA CI,Caturra,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08,0.11,0,0.0,other,0
